,fold
Sec149X1439Y2705_row_img.tif,1
Sec123X2473Y2218_row_img.tif,2
Sec164X4022Y5852_row_img.tif,3
Sec32X10802Y6431_row_img.tif,0
Sec138X7779Y3278_row_img.tif,1
Sec126X3569Y4813_row_img.tif,2
Sec127X2351Y2834_row_img.tif,3
Sec139X1539Y3650_row_img.tif,0
Sec143X3169Y2560_row_img.tif,1
Sec147X3954Y4943_row_img.tif,2
Sec142X3343Y4778_row_img.tif,3
Sec144X3478Y5615_row_img.tif,0
Sec127X2655Y4033_row_img.tif,1
Sec134X1621Y3427_row_img.tif,2
Sec260X2161Y6768_row_img.tif,3
Sec125X2713Y3957_row_img.tif,0
Sec171X8325Y7246_row_img.tif,1
Sec118X4745Y1252_row_img.tif,2
Sec165X4582Y3267_row_img.tif,3
Sec121X6622Y3747_row_img.tif,0
Sec22X3326Y2437_row_img.tif,1
Sec266X3414Y6882_row_img.tif,2
Sec117X7605Y2447_row_img.tif,3
Sec141X2970Y6575_row_img.tif,0
Sec237X10733Y5576_row_img.tif,1
Sec1X3166Y1206_row_img.tif,2
Sec124X4844Y7796_row_img.tif,3
Sec141X2344Y2932_row_img.tif,0
Sec129X2643Y3044_row_img.tif,1
Sec65X6492Y7504_row_img.tif,2
Sec266X6691Y456_row_img.tif,3
Sec135X2685Y3873_row_img.tif,0
Sec139X3183Y5098_row_img.tif,1
Sec163X3159Y5361_row_img.tif,2
Sec19X6029Y7587_row_img.tif,3
Sec134X994Y4076_row_img.tif,0
Sec132X3100Y3542_row_img.tif,1
Sec125X8804Y1219_row_img.tif,2
Sec59X725Y3330_row_img.tif,3
Sec135X2055Y3912_row_img.tif,0
Sec126X2617Y2289_row_img.tif,1
Sec135X9708Y2806_row_img.tif,2
Sec48X2158Y1795_row_img.tif,3
Sec142X3776Y5321_row_img.tif,0
Sec133X2698Y2805_row_img.tif,1
Sec53X6269Y6064_row_img.tif,2
Sec212X64Y6250_row_img.tif,3
Sec143X4631Y4280_row_img.tif,0
Sec129X2190Y3163_row_img.tif,1
Sec126X1598Y3342_row_img.tif,2
Sec128X2081Y3170_row_img.tif,3
Sec135X3629Y4867_row_img.tif,0
Sec158X4058Y4893_row_img.tif,1
Sec144X2093Y3678_row_img.tif,2
Sec137X2280Y3063_row_img.tif,3
Sec187X5580Y1833_row_img.tif,0
Sec178X4897Y6739_row_img.tif,1
Sec119X1981Y4545_row_img.tif,2
Sec135X3641Y4890_row_img.tif,3
Sec19X7930Y9_row_img.tif,0
Sec128X2999Y3508_row_img.tif,1
Sec33X2026Y1676_row_img.tif,2
Sec126X2484Y3336_row_img.tif,3
Sec142X3096Y2814_row_img.tif,0
Sec129X2054Y5848_row_img.tif,1
Sec146X1879Y2743_row_img.tif,2
Sec245X1531Y4583_row_img.tif,3
Sec100X2520Y4477_row_img.tif,0
Sec97X3115Y4442_row_img.tif,1
Sec106X5787Y6608_row_img.tif,2
Sec126X2079Y3315_row_img.tif,3
Sec185X4902Y6765_row_img.tif,0
Sec147X1808Y3002_row_img.tif,1
Sec136X2782Y7377_row_img.tif,2
Sec126X6060Y7506_row_img.tif,3
Sec145X2105Y3815_row_img.tif,0
Sec181X1889Y2729_row_img.tif,1
Sec148X3393Y4536_row_img.tif,2
Sec130X2431Y3057_row_img.tif,3
Sec145X1575Y4159_row_img.tif,0
Sec263X7502Y6811_row_img.tif,1
Sec142X2214Y3871_row_img.tif,2
Sec130X3098Y4760_row_img.tif,3
Sec85X3640Y7194_row_img.tif,0
Sec136X3710Y5291_row_img.tif,1
Sec251X4739Y980_row_img.tif,2
Sec127X2748Y3161_row_img.tif,3
Sec123X3263Y2927_row_img.tif,0
Sec133X6991Y4889_row_img.tif,1
Sec50X8894Y345_row_img.tif,2
Sec145X8874Y381_row_img.tif,3
Sec148X4744Y3930_row_img.tif,0
Sec132X1963Y2610_row_img.tif,1
Sec17X1644Y6412_row_img.tif,2
Sec173X9006Y3577_row_img.tif,3
Sec128X2387Y3224_row_img.tif,0
Sec145X3430Y5751_row_img.tif,1
Sec134X2444Y2726_row_img.tif,2
Sec133X2979Y5302_row_img.tif,3
Sec130X3386Y4633_row_img.tif,0
Sec212X4286Y3819_row_img.tif,1
Sec225X7003Y7926_row_img.tif,2
Sec172X3894Y5843_row_img.tif,3
Sec149X3923Y5609_row_img.tif,0
Sec203X8312Y6585_row_img.tif,1
Sec138X2354Y3664_row_img.tif,2
Sec263X8017Y5428_row_img.tif,3
Sec63X10663Y5250_row_img.tif,0
Sec148X2187Y2347_row_img.tif,1
Sec135X2288Y5182_row_img.tif,2
Sec142X1026Y3572_row_img.tif,3
Sec70X6056Y5340_row_img.tif,0
Sec150X4500Y4645_row_img.tif,1
Sec4X9466Y2272_row_img.tif,2
Sec87X5642Y2965_row_img.tif,3
Sec130X1747Y2639_row_img.tif,0
Sec175X9607Y6003_row_img.tif,1
Sec129X3460Y5737_row_img.tif,2
Sec152X7620Y39_row_img.tif,3
Sec117X2966Y4027_row_img.tif,0
Sec141X2282Y3263_row_img.tif,1
Sec150X3179Y5902_row_img.tif,2
Sec83X7210Y1725_row_img.tif,3
Sec146X3748Y5260_row_img.tif,0
Sec127X1703Y3242_row_img.tif,1
Sec89X5262Y7881_row_img.tif,2
Sec149X6441Y2507_row_img.tif,3
Sec145X3284Y5788_row_img.tif,0
Sec105X2311Y1032_row_img.tif,1
Sec119X3142Y3337_row_img.tif,2
Sec155X3376Y5692_row_img.tif,3
Sec146X4153Y4108_row_img.tif,0
Sec214X3722Y2114_row_img.tif,1
Sec150X4331Y4509_row_img.tif,2
Sec179X208Y789_row_img.tif,3
Sec161X3834Y5738_row_img.tif,0
Sec134X2875Y5333_row_img.tif,1
Sec126X2777Y5211_row_img.tif,2
Sec40X2094Y941_row_img.tif,3
Sec210X4856Y6808_row_img.tif,0
Sec126X2897Y4891_row_img.tif,1
Sec49X9315Y2329_row_img.tif,2
Sec227X9678Y4200_row_img.tif,3
Sec165X3155Y4805_row_img.tif,0
Sec145X2078Y3003_row_img.tif,1
Sec21X6468Y3230_row_img.tif,2
Sec143X1635Y2754_row_img.tif,3
Sec127X2136Y3310_row_img.tif,0
Sec229X10626Y3157_row_img.tif,1
Sec173X4182Y6147_row_img.tif,2
Sec130X2570Y2839_row_img.tif,3
Sec69X5840Y3916_row_img.tif,0
Sec164X3699Y6109_row_img.tif,1
Sec30X3008Y2816_row_img.tif,2
Sec187X9067Y5599_row_img.tif,3
Sec164X3096Y4950_row_img.tif,0
Sec205X6348Y1881_row_img.tif,1
Sec135X3555Y4646_row_img.tif,2
Sec176X4479Y6112_row_img.tif,3
Sec138X2970Y2567_row_img.tif,0
Sec126X2353Y4506_row_img.tif,1
Sec190X9705Y2485_row_img.tif,2
Sec49X7868Y5298_row_img.tif,3
Sec147X1661Y3447_row_img.tif,0
Sec50X10296Y7357_row_img.tif,1
Sec158X3209Y4648_row_img.tif,2
Sec150X3714Y5188_row_img.tif,3
Sec166X3408Y6101_row_img.tif,0
Sec152X3388Y5926_row_img.tif,1
Sec130X5325Y4382_row_img.tif,2
Sec32X6421Y479_row_img.tif,3
Sec128X3118Y2676_row_img.tif,0
Sec139X2939Y5467_row_img.tif,1
Sec196X9499Y2398_row_img.tif,2
Sec0X599Y7405_row_img.tif,3
Sec129X9749Y5294_row_img.tif,0
Sec128X2501Y3184_row_img.tif,1
Sec244X10059Y4597_row_img.tif,2
Sec125X3406Y4772_row_img.tif,3
Sec89X9320Y6397_row_img.tif,0
Sec253X1103Y1763_row_img.tif,1
Sec90X950Y239_row_img.tif,2
Sec99X4837Y3729_row_img.tif,3
Sec152X3421Y4468_row_img.tif,0
Sec126X2216Y4248_row_img.tif,1
Sec63X1312Y2812_row_img.tif,2
Sec93X6274Y7680_row_img.tif,3
Sec124X2201Y2922_row_img.tif,0
Sec162X640Y4881_row_img.tif,1
Sec84X2082Y3305_row_img.tif,2
Sec141X2505Y2642_row_img.tif,3
Sec145X989Y3503_row_img.tif,0
Sec115X8916Y5193_row_img.tif,1
Sec129X3388Y5061_row_img.tif,2
Sec197X1972Y2607_row_img.tif,3
Sec134X4156Y4699_row_img.tif,0
Sec148X3921Y5772_row_img.tif,1
Sec119X30Y7016_row_img.tif,2
Sec137X3401Y5201_row_img.tif,3
Sec207X4612Y6253_row_img.tif,0
Sec144X3619Y5429_row_img.tif,1
Sec255X6782Y5650_row_img.tif,2
Sec127X2662Y3181_row_img.tif,3
Sec149X1950Y2856_row_img.tif,0
Sec218X9510Y1336_row_img.tif,1
Sec253X8200Y6506_row_img.tif,2
Sec101X4116Y3165_row_img.tif,3
Sec130X3244Y3030_row_img.tif,0
Sec64X5381Y4046_row_img.tif,1
Sec208X2440Y5482_row_img.tif,2
Sec4X8610Y7605_row_img.tif,3
Sec146X6380Y34_row_img.tif,0
Sec128X2841Y2484_row_img.tif,1
Sec146X2575Y3130_row_img.tif,2
Sec140X3760Y4090_row_img.tif,3
Sec160X5059Y3436_row_img.tif,0
Sec144X3695Y5240_row_img.tif,1
Sec102X7095Y4029_row_img.tif,2
Sec1X4283Y7321_row_img.tif,3
Sec192X398Y1573_row_img.tif,0
Sec162X3029Y5088_row_img.tif,1
Sec265X9102Y7831_row_img.tif,2
Sec149X3947Y4104_row_img.tif,3
Sec122X2193Y2472_row_img.tif,0
Sec149X6796Y615_row_img.tif,1
Sec168X3984Y6535_row_img.tif,2
Sec212X3837Y2956_row_img.tif,3
Sec117X2397Y2549_row_img.tif,0
Sec138X3124Y3055_row_img.tif,1
Sec69X6213Y4699_row_img.tif,2
Sec65X3237Y2347_row_img.tif,3
Sec175X3718Y5458_row_img.tif,0
Sec128X2344Y3338_row_img.tif,1
Sec160X5231Y999_row_img.tif,2
Sec128X2540Y3116_row_img.tif,3
Sec120X9141Y1922_row_img.tif,0
Sec142X1784Y2552_row_img.tif,1
Sec144X5527Y6529_row_img.tif,2
Sec159X200Y3222_row_img.tif,3
Sec128X1359Y2742_row_img.tif,0
Sec62X9048Y3036_row_img.tif,1
Sec143X1800Y3610_row_img.tif,2
Sec135X3088Y4566_row_img.tif,3
Sec129X2115Y3239_row_img.tif,0
Sec152X3839Y5514_row_img.tif,1
Sec129X2004Y3491_row_img.tif,2
Sec203X244Y6687_row_img.tif,3
Sec250X10336Y4952_row_img.tif,0
Sec177X9326Y1437_row_img.tif,1
Sec136X2306Y4839_row_img.tif,2
Sec110X2195Y4221_row_img.tif,3
Sec170X4247Y6100_row_img.tif,0
Sec25X4640Y7772_row_img.tif,1
Sec44X6416Y6309_row_img.tif,2
Sec221X5834Y4057_row_img.tif,3
Sec127X2449Y3028_row_img.tif,0
Sec254X4116Y6014_row_img.tif,1
Sec95X325Y411_row_img.tif,2
Sec125X1599Y3764_row_img.tif,3
Sec247X1886Y5097_row_img.tif,0
Sec128X2603Y2254_row_img.tif,1
Sec34X3411Y5182_row_img.tif,2
Sec163X4293Y4212_row_img.tif,3
Sec129X2268Y3155_row_img.tif,0
Sec135X3540Y5577_row_img.tif,1
Sec264X1261Y5782_row_img.tif,2
Sec128X2788Y3113_row_img.tif,3
Sec126X2349Y3068_row_img.tif,0
Sec89X9404Y263_row_img.tif,1
Sec137X3436Y5224_row_img.tif,2
Sec147X3513Y5248_row_img.tif,3
Sec126X1829Y3905_row_img.tif,0
Sec195X1209Y3097_row_img.tif,1
Sec130X1990Y3435_row_img.tif,2
Sec118X5667Y1359_row_img.tif,3
Sec141X2663Y2272_row_img.tif,0
Sec258X9615Y5783_row_img.tif,1
Sec130X3090Y2824_row_img.tif,2
Sec91X4890Y7826_row_img.tif,3
Sec125X4343Y1333_row_img.tif,0
Sec126X3220Y4824_row_img.tif,1
Sec188X4961Y7099_row_img.tif,2
Sec19X7018Y1719_row_img.tif,3
Sec264X4360Y844_row_img.tif,0
Sec95X10796Y1849_row_img.tif,1
Sec118X2206Y4653_row_img.tif,2
Sec150X1454Y3046_row_img.tif,3
Sec121X1944Y4506_row_img.tif,0
Sec153X4465Y5022_row_img.tif,1
Sec3X1699Y4897_row_img.tif,2
Sec136X2455Y4777_row_img.tif,3
Sec191X6083Y3242_row_img.tif,0
Sec148X3178Y4734_row_img.tif,1
Sec55X7614Y2575_row_img.tif,2
Sec102X2241Y4658_row_img.tif,3
Sec122X8291Y4491_row_img.tif,0
Sec220X410Y4039_row_img.tif,1
Sec175X10458Y7299_row_img.tif,2
Sec42X3747Y5912_row_img.tif,3
Sec0X808Y4176_row_img.tif,0
Sec200X306Y4016_row_img.tif,1
Sec119X2166Y4753_row_img.tif,2
Sec38X9473Y3046_row_img.tif,3
Sec49X281Y6368_row_img.tif,0
Sec150X2035Y2273_row_img.tif,1
Sec137X3090Y5012_row_img.tif,2
Sec237X10462Y344_row_img.tif,3
Sec40X4325Y2687_row_img.tif,0
Sec248X2761Y1365_row_img.tif,1
Sec72X7463Y61_row_img.tif,2
Sec143X1753Y2786_row_img.tif,3
Sec202X6379Y6049_row_img.tif,0
Sec198X5050Y5952_row_img.tif,1
Sec148X3595Y4386_row_img.tif,2
Sec141X3286Y5856_row_img.tif,3
Sec252X6312Y6974_row_img.tif,0
Sec151X1314Y2545_row_img.tif,1
Sec126X2282Y3317_row_img.tif,2
Sec150X9894Y6012_row_img.tif,3
Sec31X4405Y6874_row_img.tif,0
Sec128X2864Y3673_row_img.tif,1
Sec134X1179Y4116_row_img.tif,2
Sec185X4897Y6738_row_img.tif,3
Sec129X2331Y3067_row_img.tif,0
Sec144X3080Y2717_row_img.tif,1
Sec181X3004Y155_row_img.tif,2
Sec136X2405Y4968_row_img.tif,3
Sec4X2404Y1192_row_img.tif,0
Sec169X3713Y6387_row_img.tif,1
Sec137X2178Y3230_row_img.tif,2
Sec165X3701Y5882_row_img.tif,3
Sec63X1606Y6665_row_img.tif,0
Sec163X6006Y4795_row_img.tif,1
Sec132X2447Y2753_row_img.tif,2
Sec2X6192Y6171_row_img.tif,3
Sec121X2586Y2761_row_img.tif,0
Sec129X2103Y3136_row_img.tif,1
Sec136X1474Y3473_row_img.tif,2
Sec137X1567Y3842_row_img.tif,3
Sec243X10221Y7477_row_img.tif,0
Sec132X1883Y3725_row_img.tif,1
Sec32X5253Y6994_row_img.tif,2
Sec145X2695Y2703_row_img.tif,3
Sec216X6170Y5648_row_img.tif,0
Sec129X3276Y5161_row_img.tif,1
Sec137X3619Y4332_row_img.tif,2
Sec155X4533Y5535_row_img.tif,3
Sec17X3026Y7386_row_img.tif,0
Sec127X4437Y3169_row_img.tif,1
Sec217X1940Y2186_row_img.tif,2
Sec93X6346Y6671_row_img.tif,3
Sec149X3600Y5642_row_img.tif,0
Sec195X1431Y1160_row_img.tif,1
Sec132X1860Y3545_row_img.tif,2
Sec108X3919Y4531_row_img.tif,3
Sec104X4671Y254_row_img.tif,0
Sec129X3371Y5405_row_img.tif,1
Sec155X5542Y5694_row_img.tif,2
Sec149X1771Y3021_row_img.tif,3
Sec242X1533Y2178_row_img.tif,0
Sec116X9759Y8015_row_img.tif,1
Sec132X2543Y4275_row_img.tif,2
Sec133X2640Y2922_row_img.tif,3
Sec43X10584Y434_row_img.tif,0
Sec113X1751Y5376_row_img.tif,1
Sec181X4922Y6488_row_img.tif,2
Sec145X1524Y2844_row_img.tif,3
Sec110X6912Y1280_row_img.tif,0
Sec68X9405Y1440_row_img.tif,1
Sec123X2671Y4307_row_img.tif,2
Sec173X381Y1005_row_img.tif,3
Sec134X3347Y5466_row_img.tif,0
Sec132X7606Y2998_row_img.tif,1
Sec126X378Y7928_row_img.tif,2
Sec138X2636Y4783_row_img.tif,3
Sec160X3716Y5668_row_img.tif,0
Sec136X2250Y4389_row_img.tif,1
Sec154X3715Y5619_row_img.tif,2
Sec182X4386Y6712_row_img.tif,3
Sec2X5146Y6759_row_img.tif,0
Sec127X2170Y3341_row_img.tif,1
Sec133X3953Y4607_row_img.tif,2
Sec146X2989Y5451_row_img.tif,3
Sec104X1100Y4801_row_img.tif,0
Sec258X1702Y7238_row_img.tif,1
Sec167X8096Y4792_row_img.tif,2
Sec194X7524Y5327_row_img.tif,3
Sec259X4807Y1328_row_img.tif,0
Sec130X2350Y3014_row_img.tif,1
Sec40X9995Y2323_row_img.tif,2
Sec176X1908Y874_row_img.tif,3
Sec27X3157Y4761_row_img.tif,0
Sec103X3962Y2777_row_img.tif,1
Sec122X2756Y3094_row_img.tif,2
Sec118X2743Y1603_row_img.tif,3
Sec168X4127Y5849_row_img.tif,0
Sec174X4240Y4096_row_img.tif,1
Sec63X2353Y7947_row_img.tif,2
Sec139X1920Y7879_row_img.tif,3
Sec136X1734Y3194_row_img.tif,0
Sec128X1948Y3462_row_img.tif,1
Sec168X9592Y1266_row_img.tif,2
Sec38X9073Y3379_row_img.tif,3
Sec124X2205Y2503_row_img.tif,0
Sec190X5224Y7451_row_img.tif,1
Sec221X3964Y3199_row_img.tif,2
Sec257X7231Y1642_row_img.tif,3
Sec128X3242Y2751_row_img.tif,0
Sec119X2617Y4107_row_img.tif,1
Sec140X3463Y5623_row_img.tif,2
Sec180X10212Y1934_row_img.tif,3
Sec182X4309Y2947_row_img.tif,0
Sec41X3010Y628_row_img.tif,1
Sec138X3079Y5118_row_img.tif,2
Sec138X3556Y4017_row_img.tif,3
Sec30X6597Y3734_row_img.tif,0
Sec99X2810Y3922_row_img.tif,1
Sec23X5055Y6653_row_img.tif,2
Sec152X3646Y5463_row_img.tif,3
Sec4X7276Y3410_row_img.tif,0
Sec221X6289Y3953_row_img.tif,1
Sec43X9935Y4076_row_img.tif,2
Sec144X3392Y5402_row_img.tif,3
Sec238X284Y2521_row_img.tif,0
Sec147X7693Y3015_row_img.tif,1
Sec126X2452Y3084_row_img.tif,2
Sec162X3582Y5928_row_img.tif,3
Sec204X1833Y92_row_img.tif,0
Sec6X1552Y7694_row_img.tif,1
Sec151X3027Y5421_row_img.tif,2
Sec142X3643Y5389_row_img.tif,3
Sec139X2446Y3513_row_img.tif,0
Sec98X1215Y3392_row_img.tif,1
Sec141X1798Y3507_row_img.tif,2
Sec147X4152Y3702_row_img.tif,3
Sec25X1558Y3995_row_img.tif,0
Sec154X4358Y4902_row_img.tif,1
Sec154X3245Y5910_row_img.tif,2
Sec118X2456Y4575_row_img.tif,3
Sec129X2369Y3173_row_img.tif,0
Sec121X7576Y5813_row_img.tif,1
Sec135X2645Y4852_row_img.tif,2
Sec129X1954Y3325_row_img.tif,3
Sec164X4835Y3436_row_img.tif,0
Sec153X2274Y7464_row_img.tif,1
Sec134X1281Y3093_row_img.tif,2
Sec146X1365Y2748_row_img.tif,3
Sec189X4036Y7890_row_img.tif,0
Sec129X2179Y3011_row_img.tif,1
Sec257X9644Y6611_row_img.tif,2
Sec144X2546Y3529_row_img.tif,3
Sec159X3408Y5525_row_img.tif,0
Sec107X3859Y4291_row_img.tif,1
Sec212X3217Y6133_row_img.tif,2
Sec237X4197Y1477_row_img.tif,3
Sec135X2155Y3370_row_img.tif,0
Sec210X5618Y787_row_img.tif,1
Sec107X8983Y293_row_img.tif,2
Sec130X2999Y3312_row_img.tif,3
Sec151X3875Y5622_row_img.tif,0
Sec187X9181Y5300_row_img.tif,1
Sec128X2077Y3315_row_img.tif,2
Sec218X5452Y4224_row_img.tif,3
Sec177X4581Y6293_row_img.tif,0
Sec130X2045Y3057_row_img.tif,1
Sec137X2940Y5694_row_img.tif,2
Sec150X3901Y4073_row_img.tif,3
Sec127X3814Y4500_row_img.tif,0
Sec176X3335Y7349_row_img.tif,1
Sec184X4593Y7185_row_img.tif,2
Sec132X2642Y5171_row_img.tif,3
Sec212X9915Y6665_row_img.tif,0
Sec145X4255Y4919_row_img.tif,1
Sec134X4048Y4406_row_img.tif,2
Sec203X5380Y6088_row_img.tif,3
Sec5X7734Y4917_row_img.tif,0
Sec100X10214Y4021_row_img.tif,1
Sec130X2229Y3047_row_img.tif,2
Sec160X2897Y5051_row_img.tif,3
Sec147X3515Y4956_row_img.tif,0
Sec135X6294Y1197_row_img.tif,1
Sec6X10381Y3823_row_img.tif,2
Sec130X3596Y4887_row_img.tif,3
Sec134X2719Y4476_row_img.tif,0
Sec209X734Y1781_row_img.tif,1
Sec144X2382Y2247_row_img.tif,2
Sec126X2791Y2912_row_img.tif,3
Sec102X4537Y1622_row_img.tif,0
Sec231X3096Y5121_row_img.tif,1
Sec230X8548Y5823_row_img.tif,2
Sec224X3018Y5645_row_img.tif,3
Sec67X7737Y6526_row_img.tif,0
Sec136X2658Y4041_row_img.tif,1
Sec134X1499Y3330_row_img.tif,2
Sec128X2139Y3007_row_img.tif,3
Sec50X9830Y1714_row_img.tif,0
Sec68X3591Y5496_row_img.tif,1
Sec154X2234Y4935_row_img.tif,2
Sec125X10150Y6107_row_img.tif,3
Sec231X2789Y4925_row_img.tif,0
Sec110X6444Y7067_row_img.tif,1
Sec91X7735Y498_row_img.tif,2
Sec197X5818Y106_row_img.tif,3
Sec142X2491Y1921_row_img.tif,0
Sec141X237Y8013_row_img.tif,1
Sec130X2057Y2238_row_img.tif,2
Sec197X6337Y4542_row_img.tif,3
Sec192X8519Y1188_row_img.tif,0
Sec143X2854Y2857_row_img.tif,1
Sec166X4723Y6550_row_img.tif,2
Sec125X2166Y4500_row_img.tif,3
Sec119X2659Y3426_row_img.tif,0
Sec139X1796Y4308_row_img.tif,1
Sec100X8557Y5809_row_img.tif,2
Sec130X2113Y3086_row_img.tif,3
Sec147X4128Y4264_row_img.tif,0
Sec126X1910Y5009_row_img.tif,1
Sec123X2941Y3161_row_img.tif,2
Sec227X9328Y3288_row_img.tif,3
Sec140X3429Y4530_row_img.tif,0
Sec171X4848Y3172_row_img.tif,1
Sec154X1639Y2551_row_img.tif,2
Sec269X276Y2715_row_img.tif,3
Sec137X1406Y2837_row_img.tif,0
Sec261X10383Y4773_row_img.tif,1
Sec246X7623Y5757_row_img.tif,2
Sec142X2334Y3553_row_img.tif,3
Sec99X9204Y1904_row_img.tif,0
Sec86X7493Y6813_row_img.tif,1
Sec168X3623Y5534_row_img.tif,2
Sec167X4125Y6007_row_img.tif,3
Sec139X1293Y3289_row_img.tif,0
Sec243X3167Y7436_row_img.tif,1
Sec58X1480Y25_row_img.tif,2
Sec125X3232Y4810_row_img.tif,3
Sec134X959Y6627_row_img.tif,0
Sec190X5250Y7075_row_img.tif,1
Sec245X4023Y952_row_img.tif,2
Sec126X2388Y3337_row_img.tif,3
Sec164X8765Y4754_row_img.tif,0
Sec123X1658Y3638_row_img.tif,1
Sec139X3356Y4699_row_img.tif,2
Sec254X6023Y403_row_img.tif,3
Sec154X3087Y4348_row_img.tif,0
Sec142X3911Y5231_row_img.tif,1
Sec239X8157Y6084_row_img.tif,2
Sec43X4545Y6898_row_img.tif,3
Sec199X7292Y4864_row_img.tif,0
Sec267X6804Y216_row_img.tif,1
Sec149X3146Y5753_row_img.tif,2
Sec132X4184Y4177_row_img.tif,3
Sec244X4697Y4910_row_img.tif,0
Sec185X2089Y1672_row_img.tif,1
Sec132X2796Y2860_row_img.tif,2
Sec150X4487Y4241_row_img.tif,3
Sec246X6205Y1032_row_img.tif,0
Sec134X2525Y3374_row_img.tif,1
Sec80X7660Y6368_row_img.tif,2
Sec165X2901Y4938_row_img.tif,3
Sec181X4760Y6624_row_img.tif,0
Sec173X10562Y6611_row_img.tif,1
Sec182X6168Y2651_row_img.tif,2
Sec104X2499Y4738_row_img.tif,3
Sec204X10697Y7770_row_img.tif,0
Sec147X4151Y5402_row_img.tif,1
Sec142X3700Y5509_row_img.tif,2
Sec128X1090Y3295_row_img.tif,3
Sec139X7113Y1523_row_img.tif,0
Sec129X1590Y3766_row_img.tif,1
Sec133X2695Y4587_row_img.tif,2
Sec44X3222Y1508_row_img.tif,3
Sec136X1752Y3284_row_img.tif,0
Sec161X3634Y5965_row_img.tif,1
Sec8X9270Y6501_row_img.tif,2
Sec129X2340Y3294_row_img.tif,3
Sec51X4680Y3570_row_img.tif,0
Sec112X1535Y5734_row_img.tif,1
Sec37X4479Y7890_row_img.tif,2
Sec181X4525Y6492_row_img.tif,3
Sec177X4538Y6118_row_img.tif,0
Sec127X2623Y3935_row_img.tif,1
Sec109X6923Y2530_row_img.tif,2
Sec20X480Y951_row_img.tif,3
Sec116X1485Y1417_row_img.tif,0
Sec247X2571Y7317_row_img.tif,1
Sec35X663Y7066_row_img.tif,2
Sec267X4696Y4766_row_img.tif,3
Sec224X5773Y7326_row_img.tif,0
Sec262X9031Y426_row_img.tif,1
Sec20X5582Y5603_row_img.tif,2
Sec158X3492Y5830_row_img.tif,3
Sec163X7218Y5291_row_img.tif,0
Sec128X1889Y3436_row_img.tif,1
Sec135X1704Y4358_row_img.tif,2
Sec135X1121Y4042_row_img.tif,3
Sec75X3388Y7851_row_img.tif,0
Sec141X1687Y2914_row_img.tif,1
Sec210X2317Y6094_row_img.tif,2
Sec128X1985Y2334_row_img.tif,3
Sec169X4900Y3371_row_img.tif,0
Sec106X2849Y7405_row_img.tif,1
Sec138X2388Y2272_row_img.tif,2
Sec162X5220Y6359_row_img.tif,3
Sec72X7807Y1342_row_img.tif,0
Sec155X3953Y4894_row_img.tif,1
Sec184X8309Y777_row_img.tif,2
Sec116X4549Y4117_row_img.tif,3
Sec133X2982Y2766_row_img.tif,0
Sec5X5670Y7673_row_img.tif,1
Sec264X9365Y1826_row_img.tif,2
Sec138X2721Y3894_row_img.tif,3
Sec144X906Y3728_row_img.tif,0
Sec144X1415Y3526_row_img.tif,1
Sec181X636Y7665_row_img.tif,2
Sec66X7791Y4492_row_img.tif,3
Sec129X2005Y3319_row_img.tif,0
Sec81X7174Y5069_row_img.tif,1
Sec125X2547Y4024_row_img.tif,2
Sec241X3134Y3459_row_img.tif,3
Sec126X2732Y4941_row_img.tif,0
